"33.6, 550.8","2, 8",pink
"33.6, 580.8","2, 7",pink
"33.6, 610.8","2, 6",pink
"33.6, 640.8","2, 5",pink
"33.6, 670.8","2, 4",pink
"62.6, 550.8","3, 8",pink
"62.6, 580.8","3, 7",pink
"62.6, 610.8","3, 6",pink
"62.6, 640.8","3, 5",pink
"62.6, 670.8","3, 4",pink
"62.6, 700.8","3, 3",pink
"91.6, 580.8","4, 7",pink
"91.6, 610.8","4, 6",pink
"91.6, 640.8","4, 5",green
"91.6, 670.8","4, 4",pink
"91.6, 700.8","4, 3",pink
"91.6, 760.8","4, 1",pink
"91.6, 790.8","4, 0",pink
"120.6, 580.8","5, 7",pink
"120.6, 610.8","5, 6",pink
"120.6, 640.8","5, 5",pink
"120.6, 670.8","5, 4",grey
"120.6, 700.8","5, 3",pink
"120.6, 760.8","5, 1",pink
"120.6, 790.8","5, 0",pink
"149.6, 70.8","6, 24",pink
"149.6, 100.8","6, 23",pink
"149.6, 130.8","6, 22",pink
"149.6, 610.8","6, 6",pink
"149.6, 640.8","6, 5",pink
"149.6, 670.8","6, 4",pink
"149.6, 700.8","6, 3",pink
"149.6, 760.8","6, 1",pink
"149.6, 790.8","6, 0",pink
"178.6, 70.8","7, 24",pink
"178.6, 100.8","7, 23",pink
"178.6, 130.8","7, 22",pink
"178.6, 670.8","7, 4",pink
"178.6, 700.8","7, 3",pink
"178.6, 760.8","7, 1",pink
"178.6, 790.8","7, 0",pink
"207.6, 70.8","8, 24",grey
"207.6, 100.8","8, 23",pink
"207.6, 130.8","8, 22",pink
"207.6, 670.8","8, 4",pink
"207.6, 700.8","8, 3",pink
"207.6, 760.8","8, 1",pink
"207.6, 790.8","8, 0",pink
"236.6, 70.8","9, 24",grey
"236.6, 100.8","9, 23",green
"236.6, 130.8","9, 22",green
"236.6, 160.8","9, 21",pink
"236.6, 190.8","9, 20",pink
"236.6, 250.8","9, 18",pink
"236.6, 280.8","9, 17",pink
"236.6, 550.8","9, 8",pink
"236.6, 580.8","9, 7",pink
"236.6, 610.8","9, 6",pink
"236.6, 700.8","9, 3",pink
"236.6, 760.8","9, 1",pink
"236.6, 790.8","9, 0",pink
"265.6, 70.8","10, 24",pink
"265.6, 100.8","10, 23",green
"265.6, 130.8","10, 22",green
"265.6, 160.8","10, 21",pink
"265.6, 190.8","10, 20",green
"265.6, 220.8","10, 19",pink
"265.6, 250.8","10, 18",pink
"265.6, 280.8","10, 17",pink
"265.6, 310.8","10, 16",pink
"265.6, 340.8","10, 15",pink
"265.6, 490.8","10, 10",pink
"265.6, 520.8","10, 9",pink
"265.6, 580.8","10, 7",pink
"265.6, 610.8","10, 6",pink
"265.6, 640.8","10, 5",pink
"265.6, 670.8","10, 4",pink
"265.6, 700.8","10, 3",pink
"265.6, 790.8","10, 0",pink
"294.6, 40.8","11, 25",grey
"294.6, 70.8","11, 24",grey
"294.6, 100.8","11, 23",green
"294.6, 130.8","11, 22",pink
"294.6, 160.8","11, 21",pink
"294.6, 190.8","11, 20",pink
"294.6, 220.8","11, 19",pink
"294.6, 250.8","11, 18",pink
"294.6, 280.8","11, 17",green
"294.6, 310.8","11, 16",pink
"294.6, 340.8","11, 15",pink
"294.6, 370.8","11, 14",pink
"294.6, 400.8","11, 13",pink
"294.6, 460.8","11, 11",pink
"294.6, 520.8","11, 9",pink
"294.6, 580.8","11, 7",pink
"294.6, 610.8","11, 6",pink
"294.6, 640.8","11, 5",pink
"294.6, 670.8","11, 4",pink
"294.6, 700.8","11, 3",pink
"294.6, 760.8","11, 1",pink
"323.6, 40.8","12, 25",grey
"323.6, 70.8","12, 24",grey
"323.6, 100.8","12, 23",grey
"323.6, 130.8","12, 22",green
"323.6, 160.8","12, 21",green
"323.6, 190.8","12, 20",green
"323.6, 220.8","12, 19",pink
"323.6, 250.8","12, 18",pink
"323.6, 280.8","12, 17",green
"323.6, 310.8","12, 16",pink
"323.6, 340.8","12, 15",pink
"323.6, 370.8","12, 14",pink
"323.6, 400.8","12, 13",pink
"323.6, 460.8","12, 11",pink
"323.6, 490.8","12, 10",pink
"323.6, 520.8","12, 9",pink
"323.6, 580.8","12, 7",pink
"323.6, 610.8","12, 6",green
"323.6, 640.8","12, 5",green
"323.6, 670.8","12, 4",green
"323.6, 700.8","12, 3",green
"381.6, 40.8","14, 25",pink
"381.6, 70.8","14, 24",grey
"381.6, 100.8","14, 23",grey
"381.6, 130.8","14, 22",grey
"381.6, 160.8","14, 21",grey
"381.6, 190.8","14, 20",green
"381.6, 220.8","14, 19",pink
"381.6, 250.8","14, 18",green
"381.6, 280.8","14, 17",green
"381.6, 310.8","14, 16",green
"381.6, 340.8","14, 15",green
"381.6, 370.8","14, 14",grey
"381.6, 400.8","14, 13",pink
"381.6, 460.8","14, 11",pink
"381.6, 490.8","14, 10",pink
"381.6, 520.8","14, 9",pink
"381.6, 580.8","14, 7",blue
"381.6, 610.8","14, 6",blue
"381.6, 640.8","14, 5",blue
"381.6, 670.8","14, 4",green
"381.6, 700.8","14, 3",blue
"410.6, 40.8","15, 25",grey
"410.6, 70.8","15, 24",grey
"410.6, 100.8","15, 23",green
"410.6, 130.8","15, 22",grey
"410.6, 160.8","15, 21",grey
"410.6, 190.8","15, 20",grey
"410.6, 220.8","15, 19",grey
"410.6, 250.8","15, 18",green
"410.6, 280.8","15, 17",blue
"410.6, 310.8","15, 16",blue
"410.6, 340.8","15, 15",green
"410.6, 370.8","15, 14",grey
"410.6, 400.8","15, 13",pink
"410.6, 460.8","15, 11",pink
"410.6, 490.8","15, 10",green
"410.6, 520.8","15, 9",pink
"410.6, 550.8","15, 8",green
"410.6, 580.8","15, 7",green
"410.6, 610.8","15, 6",blue
"410.6, 640.8","15, 5",blue
"410.6, 670.8","15, 4",blue
"410.6, 700.8","15, 3",blue
"439.6, 40.8","16, 25",pink
"439.6, 70.8","16, 24",grey
"439.6, 100.8","16, 23",grey
"439.6, 130.8","16, 22",grey
"439.6, 160.8","16, 21",grey
"439.6, 190.8","16, 20",grey
"439.6, 220.8","16, 19",grey
"439.6, 250.8","16, 18",green
"439.6, 280.8","16, 17",blue
"439.6, 310.8","16, 16",blue
"439.6, 340.8","16, 15",blue
"439.6, 370.8","16, 14",green
"439.6, 400.8","16, 13",green
"439.6, 460.8","16, 11",green
"439.6, 490.8","16, 10",green
"439.6, 520.8","16, 9",green
"439.6, 550.8","16, 8",blue
"439.6, 580.8","16, 7",blue
"439.6, 610.8","16, 6",green
"439.6, 640.8","16, 5",green
"439.6, 670.8","16, 4",blue
"439.6, 700.8","16, 3",blue
"468.6, 40.8","17, 25",green
"468.6, 70.8","17, 24",grey
"468.6, 100.8","17, 23",grey
"468.6, 130.8","17, 22",grey
"468.6, 160.8","17, 21",grey
"468.6, 220.8","17, 19",green
"468.6, 250.8","17, 18",green
"468.6, 280.8","17, 17",green
"468.6, 310.8","17, 16",blue
"468.6, 340.8","17, 15",green
"468.6, 370.8","17, 14",green
"468.6, 400.8","17, 13",green
"468.6, 460.8","17, 11",green
"468.6, 490.8","17, 10",pink
"468.6, 520.8","17, 9",pink
"468.6, 550.8","17, 8",blue
"468.6, 580.8","17, 7",blue
"468.6, 610.8","17, 6",blue
"468.6, 640.8","17, 5",blue
"468.6, 670.8","17, 4",blue
"468.6, 700.8","17, 3",blue
"497.6, 40.8","18, 25",grey
"497.6, 70.8","18, 24",grey
"497.6, 100.8","18, 23",grey
"497.6, 130.8","18, 22",grey
"497.6, 160.8","18, 21",grey
"497.6, 190.8","18, 20",green
"497.6, 220.8","18, 19",green
"497.6, 280.8","18, 17",green
"497.6, 310.8","18, 16",green
"497.6, 340.8","18, 15",green
"497.6, 370.8","18, 14",green
"497.6, 400.8","18, 13",green
"497.6, 460.8","18, 11",green
"497.6, 490.8","18, 10",green
"497.6, 520.8","18, 9",green
"497.6, 550.8","18, 8",blue
"497.6, 580.8","18, 7",blue
"497.6, 610.8","18, 6",blue
"497.6, 640.8","18, 5",blue
"497.6, 670.8","18, 4",blue
"497.6, 700.8","18, 3",blue
"526.6, 40.8","19, 25",grey
"526.6, 70.8","19, 24",grey
"526.6, 100.8","19, 23",grey
"526.6, 130.8","19, 22",grey
"526.6, 160.8","19, 21",grey
"526.6, 190.8","19, 20",green
"526.6, 220.8","19, 19",green
"526.6, 280.8","19, 17",green
"526.6, 310.8","19, 16",green
"526.6, 340.8","19, 15",green
"526.6, 370.8","19, 14",green
"526.6, 400.8","19, 13",green
"526.6, 460.8","19, 11",green
"526.6, 490.8","19, 10",green
"526.6, 520.8","19, 9",blue
"526.6, 550.8","19, 8",blue
"526.6, 580.8","19, 7",blue
"526.6, 610.8","19, 6",blue
"526.6, 640.8","19, 5",blue
"526.6, 670.8","19, 4",blue
"526.6, 700.8","19, 3",blue
"555.6, 40.8","20, 25",grey
"555.6, 70.8","20, 24",grey
"555.6, 100.8","20, 23",grey
"555.6, 130.8","20, 22",grey
"555.6, 160.8","20, 21",green
"555.6, 190.8","20, 20",green
"555.6, 220.8","20, 19",green
"555.6, 250.8","20, 18",green
"555.6, 280.8","20, 17",green
"555.6, 310.8","20, 16",green
"555.6, 340.8","20, 15",green
"555.6, 370.8","20, 14",pink
"555.6, 400.8","20, 13",green
"555.6, 460.8","20, 11",green
"555.6, 490.8","20, 10",green
"555.6, 520.8","20, 9",green
"555.6, 550.8","20, 8",blue
"555.6, 580.8","20, 7",blue
"555.6, 640.8","20, 5",blue
"555.6, 670.8","20, 4",blue
"555.6, 700.8","20, 3",blue
"584.6, 40.8","21, 25",grey
"584.6, 70.8","21, 24",grey
"584.6, 100.8","21, 23",grey
"584.6, 130.8","21, 22",grey
"584.6, 160.8","21, 21",grey
"584.6, 190.8","21, 20",grey
"584.6, 220.8","21, 19",grey
"584.6, 250.8","21, 18",green
"584.6, 280.8","21, 17",green
"584.6, 310.8","21, 16",green
"584.6, 340.8","21, 15",green
"584.6, 370.8","21, 14",green
"584.6, 400.8","21, 13",green
"584.6, 460.8","21, 11",green
"584.6, 490.8","21, 10",green
"584.6, 520.8","21, 9",green
"584.6, 550.8","21, 8",blue
"584.6, 580.8","21, 7",blue
"584.6, 610.8","21, 6",blue
"584.6, 640.8","21, 5",blue
"584.6, 670.8","21, 4",blue
"584.6, 700.8","21, 3",blue
"613.6, 70.8","22, 24",grey
"613.6, 100.8","22, 23",grey
"613.6, 130.8","22, 22",grey
"613.6, 160.8","22, 21",grey
"613.6, 190.8","22, 20",grey
"613.6, 220.8","22, 19",grey
"613.6, 250.8","22, 18",pink
"613.6, 280.8","22, 17",green
"613.6, 310.8","22, 16",green
"613.6, 340.8","22, 15",green
"613.6, 370.8","22, 14",green
"613.6, 400.8","22, 13",green
"613.6, 460.8","22, 11",green
"613.6, 490.8","22, 10",green
"613.6, 520.8","22, 9",pink
"613.6, 550.8","22, 8",blue
"613.6, 580.8","22, 7",blue
"613.6, 610.8","22, 6",blue
"613.6, 640.8","22, 5",blue
"613.6, 670.8","22, 4",blue
"642.6, 70.8","23, 24",grey
"642.6, 100.8","23, 23",grey
"642.6, 130.8","23, 22",grey
"642.6, 160.8","23, 21",grey
"642.6, 190.8","23, 20",grey
"642.6, 220.8","23, 19",grey
"642.6, 250.8","23, 18",green
"642.6, 280.8","23, 17",green
"642.6, 310.8","23, 16",green
"642.6, 340.8","23, 15",green
"642.6, 370.8","23, 14",green
"642.6, 460.8","23, 11",green
"642.6, 490.8","23, 10",green
"642.6, 520.8","23, 9",pink
"642.6, 550.8","23, 8",green
"642.6, 580.8","23, 7",blue
"642.6, 610.8","23, 6",blue
"642.6, 640.8","23, 5",blue
"642.6, 670.8","23, 4",blue
"671.6, 100.8","24, 23",grey
"671.6, 130.8","24, 22",grey
"671.6, 160.8","24, 21",grey
"671.6, 190.8","24, 20",grey
"671.6, 220.8","24, 19",grey
"671.6, 250.8","24, 18",grey
"671.6, 280.8","24, 17",pink
"671.6, 310.8","24, 16",green
"671.6, 340.8","24, 15",green
"671.6, 370.8","24, 14",green
"671.6, 400.8","24, 13",green
"671.6, 460.8","24, 11",green
"671.6, 490.8","24, 10",green
"671.6, 520.8","24, 9",green
"671.6, 550.8","24, 8",green
"671.6, 580.8","24, 7",green
"671.6, 610.8","24, 6",blue
"671.6, 640.8","24, 5",blue
"700.6, 100.8","25, 23",grey
"700.6, 130.8","25, 22",grey
"700.6, 160.8","25, 21",grey
"700.6, 190.8","25, 20",grey
"700.6, 220.8","25, 19",grey
"700.6, 250.8","25, 18",grey
"700.6, 280.8","25, 17",green
"700.6, 310.8","25, 16",green
"700.6, 340.8","25, 15",green
"700.6, 370.8","25, 14",green
"700.6, 400.8","25, 13",green
"700.6, 460.8","25, 11",green
"700.6, 490.8","25, 10",green
"700.6, 520.8","25, 9",green
"700.6, 550.8","25, 8",green
"700.6, 580.8","25, 7",blue
"700.6, 610.8","25, 6",blue
"729.6, 100.8","26, 23",grey
"729.6, 130.8","26, 22",grey
"729.6, 160.8","26, 21",grey
"729.6, 190.8","26, 20",grey
"729.6, 220.8","26, 19",grey
"729.6, 250.8","26, 18",grey
"729.6, 280.8","26, 17",green
"729.6, 310.8","26, 16",green
"729.6, 340.8","26, 15",green
"729.6, 370.8","26, 14",green
"729.6, 400.8","26, 13",green
"729.6, 460.8","26, 11",green
"729.6, 490.8","26, 10",green
"729.6, 520.8","26, 9",green
"729.6, 550.8","26, 8",green
"729.6, 580.8","26, 7",blue
"729.6, 610.8","26, 6",blue
"758.6, 100.8","27, 23",grey
"758.6, 130.8","27, 22",grey
"758.6, 160.8","27, 21",grey
"758.6, 190.8","27, 20",grey
"758.6, 220.8","27, 19",grey
"758.6, 250.8","27, 18",grey
"758.6, 280.8","27, 17",grey
"758.6, 310.8","27, 16",green
"758.6, 340.8","27, 15",green
"758.6, 370.8","27, 14",grey
"758.6, 400.8","27, 13",grey
"758.6, 460.8","27, 11",green
"758.6, 490.8","27, 10",green
"758.6, 520.8","27, 9",green
"758.6, 550.8","27, 8",green
"758.6, 580.8","27, 7",green
"787.6, 130.8","28, 22",grey
"787.6, 160.8","28, 21",grey
"787.6, 190.8","28, 20",grey
"787.6, 220.8","28, 19",grey
"787.6, 250.8","28, 18",grey
"787.6, 280.8","28, 17",grey
"787.6, 310.8","28, 16",grey
"787.6, 340.8","28, 15",grey
"787.6, 370.8","28, 14",grey
"787.6, 400.8","28, 13",grey
"787.6, 460.8","28, 11",green
"787.6, 490.8","28, 10",green
"787.6, 520.8","28, 9",green
"787.6, 550.8","28, 8",blue
"787.6, 580.8","28, 7",blue
"816.6, 220.8","29, 19",grey
"816.6, 250.8","29, 18",grey
"816.6, 280.8","29, 17",grey
"816.6, 310.8","29, 16",grey
"816.6, 370.8","29, 14",grey
"816.6, 400.8","29, 13",grey
"816.6, 460.8","29, 11",grey
"816.6, 490.8","29, 10",pink
"816.6, 520.8","29, 9",green
"816.6, 550.8","29, 8",green
